timestamp,frequency,signal_strength,noise_level
2024-03-20T08:00:00,2400,3,12
2024-03-20T08:05:00,5000,58,9
2024-03-20T08:10:00,2400,71,15
2024-03-20T08:15:00,5000,47,7
2024-03-20T08:20:00,2400,89,23
2024-03-20T08:25:00,5000,53,8
2024-03-20T08:30:00,2400,68,11
2024-03-20T08:35:00,5000,5,14
2024-03-20T08:40:00,2400,82,18
2024-03-20T08:45:00,5000,59,6
2024-03-20T08:50:00,2400,74,10
2024-03-20T08:55:00,5000,4,13
2024-03-20T09:00:00,2400,80,16
2024-03-20T09:05:00,5000,56,9
2024-03-20T09:10:00,2400,2,14
