timestamp,src_ip,dst_ip,protocol,length
2025-01-19 20:34:44.815139055,192.168.1.237,192.168.1.18,6,78
2025-01-19 20:34:44.815172911,192.168.1.18,192.168.1.237,6,74
2025-01-19 20:34:44.822849989,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:34:44.825697899,192.168.1.18,192.168.1.237,6,124
2025-01-19 20:34:44.830908060,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:34:47.958576918,192.168.1.237,192.168.1.18,6,83
2025-01-19 20:34:47.958606958,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:34:47.958779097,192.168.1.18,192.168.1.237,6,100
2025-01-19 20:34:47.962934017,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:34:55.593774080,192.168.1.237,192.168.1.18,6,87
2025-01-19 20:34:55.620292902,192.168.1.18,192.168.1.237,6,89
2025-01-19 20:34:55.626847029,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:34:58.645450115,192.168.1.237,192.168.1.18,6,74
2025-01-19 20:34:58.645648956,192.168.1.18,192.168.1.237,6,97
2025-01-19 20:34:58.654788017,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:35:06.217535019,192.168.1.237,192.168.1.18,6,92
2025-01-19 20:35:06.217845917,192.168.1.18,192.168.1.237,6,117
2025-01-19 20:35:06.221811056,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:35:06.221811056,192.168.1.237,192.168.1.18,6,87
2025-01-19 20:35:06.222259045,192.168.1.18,192.168.1.237,6,74
2025-01-19 20:35:06.225696087,192.168.1.237,192.168.1.18,6,78
2025-01-19 20:35:06.225728035,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.226037979,192.168.1.18,192.168.1.237,6,88
2025-01-19 20:35:06.231069088,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:35:06.231070042,192.168.1.237,192.168.1.18,6,66
2025-01-19 20:35:06.231070042,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.231106997,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.231559992,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.231571913,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.231848955,192.168.1.237,192.168.1.18,6,1266
2025-01-19 20:35:06.231863976,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.232332945,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.232342958,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.232620001,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.232630014,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.232913971,192.168.1.237,192.168.1.18,6,1266
2025-01-19 20:35:06.232923985,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.233326912,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.233330011,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.233746052,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.233756065,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.234025955,192.168.1.237,192.168.1.18,6,1266
2025-01-19 20:35:06.234035015,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.234460115,192.168.1.237,192.168.1.18,6,1514
2025-01-19 20:35:06.234462023,192.168.1.18,192.168.1.237,6,66
2025-01-19 20:35:06.237622023,192.168.1.237,192.168.1.18,6,2962
2025-01-19 20:35:06.237631083,192.168.1.18,192.168.1.237,6,66
