timestamp,frequency,signal_strength,noise_level,bit_error_rate,modulation_type,channel_quality
"2023-10-01 08:00:00,2.4,85,12,0.002,QAM,""Good"""
"2023-10-01 08:01:00,2.4,87,15,0.003,QAM,""Good"""
"2023-10-01 08:02:00,2.4,84,18,0.004,QAM,""Fair"""
"2023-10-01 08:03:00,2.4,80,22,0.006,QAM,""Poor"""
"2023-10-01 08:04:00,5.0,90,10,0.001,OFDM,""Excellent"""
"2023-10-01 08:05:00,5.0,88,14,0.002,OFDM,""Good"""
"2023-10-01 08:06:00,5.0,85,17,0.003,OFDM,""Good"""
"2023-10-01 08:07:00,5.0,82,20,0.005,OFDM,""Fair"""
"2023-10-01 08:08:00,5.0,78,25,0.008,OFDM,""Poor"""
"2023-10-01 08:09:00,2.4,86,13,0.002,QAM,""Good"""
"2023-10-01 08:10:00,2.4,84,16,0.003,QAM,""Good"""
"2023-10-01 08:11:00,2.4,82,19,0.004,QAM,""Fair"""
"2023-10-01 08:12:00,2.4,79,23,0.006,QAM,""Poor"""
"2023-10-01 08:13:00,5.0,91,9,0.001,OFDM,""Excellent"""
"2023-10-01 08:14:00,5.0,89,13,0.002,OFDM,""Good"""
"2023-10-01 08:15:00,5.0,86,16,0.003,OFDM,""Good"""
"2023-10-01 08:16:00,5.0,83,19,0.004,OFDM,""Fair"""
"2023-10-01 08:17:00,5.0,79,24,0.007,OFDM,""Poor"""
"2023-10-01 08:18:00,2.4,87,12,0.002,QAM,""Good"""
"2023-10-01 08:19:00,2.4,85,15,0.003,QAM,""Good"""
"2023-10-01 08:20:00,2.4,83,18,0.004,QAM,""Fair"""
"2023-10-01 08:21:00,2.4,80,21,0.005,QAM,""Poor"""
"2023-10-01 08:22:00,5.0,92,8,0.001,OFDM,""Excellent"""
"2023-10-01 08:23:00,5.0,90,12,0.002,OFDM,""Good"""
"2023-10-01 08:24:00,5.0,87,15,0.003,OFDM,""Good"""
"2023-10-01 08:25:00,5.0,84,18,0.004,OFDM,""Fair"""
"2023-10-01 08:26:00,5.0,80,23,0.006,OFDM,""Poor"""
"2023-10-01 08:27:00,2.4,86,13,0.002,QAM,""Good"""
"2023-10-01 08:28:00,2.4,84,16,0.003,QAM,""Good"""
"2023-10-01 08:29:00,2.4,82,19,0.004,QAM,""Fair"""
"2023-10-01 08:30:00,2.4,79,22,0.005,QAM,""Poor"""
"2023-10-01 08:31:00,5.0,91,9,0.001,OFDM,""Excellent"""
"2023-10-01 08:32:00,5.0,89,13,0.002,OFDM,""Good"""
"2023-10-01 08:33:00,5.0,86,16,0.003,OFDM,""Good"""
"2023-10-01 08:34:00,5.0,83,19,0.004,OFDM,""Fair"""
"2023-10-01 08:35:00,5.0,79,24,0.007,OFDM,""Poor"""
"2023-10-01 08:36:00,2.4,87,12,0.002,QAM,""Good"""
"2023-10-01 08:37:00,2.4,85,15,0.003,QAM,""Good"""
"2023-10-01 08:38:00,2.4,83,18,0.004,QAM,""Fair"""
"2023-10-01 08:39:00,2.4,80,21,0.005,QAM,""Poor"""
"2023-10-01 08:40:00,5.0,92,8,0.001,OFDM,""Excellent"""
"2023-10-01 08:41:00,5.0,90,12,0.002,OFDM,""Good"""
"2023-10-01 08:42:00,5.0,87,15,0.003,OFDM,""Good"""
"2023-10-01 08:43:00,5.0,84,18,0.004,OFDM,""Fair"""
"2023-10-01 08:44:00,5.0,80,23,0.006,OFDM,""Poor"""
"2023-10-01 08:45:00,2.4,86,13,0.002,QAM,""Good"""
"2023-10-01 08:46:00,2.4,84,16,0.003,QAM,""Good"""
"2023-10-01 08:47:00,2.4,82,19,0.004,QAM,""Fair"""
"2023-10-01 08:48:00,2.4,79,22,0.005,QAM,""Poor"""
"2023-10-01 08:49:00,5.0,91,9,0.001,OFDM,""Excellent"""
"2023-10-01 08:50:00,5.0,89,13,0.002,OFDM,""Good"""
"2023-10-01 08:51:00,5.0,86,16,0.003,OFDM,""Good"""
"2023-10-01 08:52:00,5.0,83,19,0.004,OFDM,""Fair"""
"2023-10-01 08:53:00,5.0,79,24,0.007,OFDM,""Poor"""
"2023-10-01 08:54:00,2.4,87,12,0.002,QAM,""Good"""
"2023-10-01 08:55:00,2.4,85,15,0.003,QAM,""Good"""
"2023-10-01 08:56:00,2.4,83,18,0.004,QAM,""Fair"""
"2023-10-01 08:57:00,2.4,80,21,0.005,QAM,""Poor"""
"2023-10-01 08:58:00,5.0,92,8,0.001,OFDM,""Excellent"""
"2023-10-01 08:59:00,5.0,90,12,0.002,OFDM,""Good"""
"2023-10-01 09:00:00,5.0,87,15,0.003,OFDM,""Good"""
"2023-10-01 09:01:00,5.0,84,18,0.004,OFDM,""Fair"""
"2023-10-01 09:02:00,5.0,80,23,0.006,OFDM,""Poor"""
